theta,alpha,thetadot,alphadot,alpha_f,torque,voltage,time,dt,n_alpha,n_theta
0.0,3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan
0.0,-3.141592653589793,0.0,-418.8790204786391,0.0,0.0,0.0,0.0,0.015,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.015763521194458008,0.015763521194458008,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.032572031021118164,0.016808509826660156,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.04852485656738281,0.01595282554626465,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.06492829322814941,0.0164034366607666,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.08160924911499023,0.01668095588684082,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.09855413436889648,0.01694488525390625,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.11565041542053223,0.017096281051635742,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.1296539306640625,0.014003515243530273,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.14902853965759277,0.019374608993530273,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.16565251350402832,0.016623973846435547,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.1797471046447754,0.01409459114074707,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.19442224502563477,0.014675140380859375,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.2150583267211914,0.02063608169555664,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.22959566116333008,0.014537334442138672,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.24371075630187988,0.014115095138549805,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.26665663719177246,0.022945880889892578,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.28228044509887695,0.015623807907104492,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.29828691482543945,0.0160064697265625,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.3139152526855469,0.015628337860107422,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.32992005348205566,0.01600480079650879,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.3455491065979004,0.015629053115844727,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.36164379119873047,0.016094684600830078,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.3772721290588379,0.015628337860107422,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.3928971290588379,0.015625,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.4089975357055664,0.016100406646728516,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.42476773262023926,0.01577019691467285,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.4408278465270996,0.01606011390686035,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.45653605461120605,0.015708208084106445,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.47220730781555176,0.015671253204345703,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.4878365993499756,0.015629291534423828,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.5034632682800293,0.01562666893005371,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.5179662704467773,0.014503002166748047,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.5324747562408447,0.014508485794067383,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.5468029975891113,0.014328241348266602,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.5657029151916504,0.018899917602539062,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.581627368927002,0.015924453735351562,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.5983376502990723,0.016710281372070312,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.6152036190032959,0.016865968704223633,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.6317727565765381,0.016569137573242188,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.6490991115570068,0.01732635498046875,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.663104772567749,0.014005661010742188,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.6823937892913818,0.019289016723632812,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.6971886157989502,0.01479482650756836,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.7116954326629639,0.014506816864013672,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.7303979396820068,0.01870250701904297,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.7470338344573975,0.016635894775390625,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.7615537643432617,0.014519929885864258,nan,nan
