theta,alpha,thetadot,alphadot,alpha_f,torque,voltage,time,dt,n_alpha,n_theta
0.0,3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan
0.0,-3.141592653589793,0.0,-418.8790204786391,0.0,0.0,0.0,0.0,0.015,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.0241544246673584,0.0241544246673584,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.03995227813720703,0.015797853469848633,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.05396008491516113,0.014007806777954102,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.0685582160949707,0.01459813117980957,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.09022736549377441,0.02166914939880371,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.10591387748718262,0.015686511993408203,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.12154293060302734,0.015629053115844727,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.13716459274291992,0.015621662139892578,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.1527998447418213,0.015635251998901367,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.16841816902160645,0.015618324279785156,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.18404579162597656,0.015627622604370117,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.1996622085571289,0.015616416931152344,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.21529841423034668,0.015636205673217773,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.23111367225646973,0.015815258026123047,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.2468266487121582,0.015712976455688477,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.2624497413635254,0.015623092651367188,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.2780771255493164,0.015627384185791016,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.2937006950378418,0.01562356948852539,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.3093276023864746,0.015626907348632812,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.3233613967895508,0.014033794403076172,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.34090375900268555,0.017542362213134766,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.35576820373535156,0.014864444732666016,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.37321043014526367,0.01744222640991211,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.39014434814453125,0.016933917999267578,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.4068179130554199,0.016673564910888672,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.42320966720581055,0.016391754150390625,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.44034266471862793,0.017132997512817383,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.4575648307800293,0.017222166061401367,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.4715697765350342,0.014004945755004883,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.48557162284851074,0.014001846313476562,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.5066413879394531,0.021069765090942383,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.522266149520874,0.015624761581420898,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.5372006893157959,0.014934539794921875,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.5558457374572754,0.018645048141479492,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.5714807510375977,0.015635013580322266,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.5871052742004395,0.015624523162841797,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.6018483638763428,0.01474308967590332,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.6168403625488281,0.014991998672485352,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.6398036479949951,0.022963285446166992,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.655426025390625,0.015622377395629883,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.6710515022277832,0.015625476837158203,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.6866762638092041,0.015624761581420898,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.702317476272583,0.015641212463378906,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.7179293632507324,0.015611886978149414,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.733572244644165,0.015642881393432617,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.7491772174835205,0.015604972839355469,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.7635011672973633,0.014323949813842773,nan,nan
