theta,alpha,thetadot,alphadot,alpha_f,torque,voltage,time,dt,n_alpha,n_theta
0.0,3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan
0.0,-3.141592653589793,0.0,-418.8790204786391,0.0,0.0,0.0,0.0,0.015,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.014655828475952148,0.014655828475952148,nan,nan
0.0,-3.1400586728019073,0.0,0.10931177482717296,0.0015339807878856412,0.0,0.0,0.028688907623291016,0.014033079147338867,nan,nan
0.0,-3.1400586728019073,0.0,0.0,0.0015339807878856412,0.0,0.0,0.04445505142211914,0.015766143798828125,nan,nan
0.0,-3.138524692014022,0.0,0.1095183113391215,0.0030679615757712823,0.0,0.0,0.058461666107177734,0.014006614685058594,nan,nan
0.0,-3.138524692014022,0.0,0.0,0.0030679615757712823,0.0,0.0,0.07313656806945801,0.014674901962280273,nan,nan
0.0,-3.138524692014022,0.0,0.0,0.0030679615757712823,0.0,0.0,0.09477615356445312,0.021639585494995117,nan,nan
0.0,-3.138524692014022,0.0,0.0,0.0030679615757712823,0.0,0.0,0.11040091514587402,0.015624761581420898,nan,nan
0.0,-3.136990711226136,0.0,0.09628682232460713,0.0046019423636569235,0.0,0.0,0.12633228302001953,0.015931367874145508,nan,nan
0.0,-3.136990711226136,0.0,0.0,0.0046019423636569235,0.0,0.0,0.1443164348602295,0.01798415184020996,nan,nan
0.0,-3.136990711226136,0.0,0.0,0.0046019423636569235,0.0,0.0,0.15994024276733398,0.015623807907104492,nan,nan
0.0,-3.138524692014022,0.0,-0.09817626847566298,0.0030679615757712823,0.0,0.0,0.17556500434875488,0.015624761581420898,nan,nan
0.0,-3.138524692014022,0.0,0.0,0.0030679615757712823,0.0,0.0,0.19119048118591309,0.015625476837158203,nan,nan
0.0,-3.138524692014022,0.0,0.0,0.0030679615757712823,0.0,0.0,0.20682406425476074,0.015633583068847656,nan,nan
0.0,-3.1400586728019073,0.0,-0.09773037874883359,0.0015339807878856412,0.0,0.0,0.222520112991333,0.015696048736572266,nan,nan
0.0,-3.1400586728019073,0.0,0.0,0.0015339807878856412,0.0,0.0,0.2381443977355957,0.015624284744262695,nan,nan
0.0,-3.141592653589793,0.0,-0.09821223541928184,0.0,0.0,0.0,0.25376343727111816,0.015619039535522461,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.2693171501159668,0.015553712844848633,nan,nan
0.0,3.1400586728019073,0.0,400.22413885388363,-0.0015339807878856412,0.0,0.0,0.28501248359680176,0.01569533348083496,nan,nan
0.0,3.1400586728019073,0.0,0.0,-0.0015339807878856412,0.0,0.0,0.3006408214569092,0.015628337860107422,nan,nan
0.0,3.1385246920140215,0.0,-0.0960439133385964,-0.0030679615757712823,0.0,0.0,0.31661248207092285,0.015971660614013672,nan,nan
0.0,3.1369907112261366,0.0,-0.09763990825629938,-0.0046019423636569235,0.0,0.0,0.3323230743408203,0.01571059226989746,nan,nan
0.0,3.135456730438251,0.0,-0.09817626847566298,-0.006135923151542565,0.0,0.0,0.3479478359222412,0.015624761581420898,nan,nan
0.0,3.135456730438251,0.0,0.0,-0.006135923151542565,0.0,0.0,0.363525390625,0.015577554702758789,nan,nan
0.0,3.133922749650365,0.0,-0.09787607634405156,-0.007669903939428206,0.0,0.0,0.3791980743408203,0.015672683715820312,nan,nan
0.0,3.132388768862479,0.0,-0.09525333483185641,-0.009203884727313847,0.0,0.0,0.39530229568481445,0.01610422134399414,nan,nan
0.0,3.132388768862479,0.0,0.0,-0.009203884727313847,0.0,0.0,0.41094017028808594,0.015637874603271484,nan,nan
0.0,3.1308547880745934,0.0,-0.09816578307882844,-0.010737865515199488,0.0,0.0,0.42656660079956055,0.01562643051147461,nan,nan
0.0,3.1293208072867076,0.0,-0.09806404137406756,-0.01227184630308513,0.0,0.0,0.44220924377441406,0.015642642974853516,nan,nan
0.0,3.1293208072867076,0.0,0.0,-0.01227184630308513,0.0,0.0,0.45781421661376953,0.015604972839355469,nan,nan
0.0,3.1277868264988227,0.0,-0.1080107063280427,-0.01380582709097077,0.0,0.0,0.4720163345336914,0.014202117919921875,nan,nan
0.0,3.126252845710937,0.0,-0.0655926369105166,-0.015339807878856412,0.0,0.0,0.49540281295776367,0.023386478424072266,nan,nan
0.0,3.126252845710937,0.0,0.0,-0.015339807878856412,0.0,0.0,0.5100367069244385,0.014633893966674805,nan,nan
0.0,3.124718864923051,0.0,-0.08519798928139745,-0.01687378866674205,0.0,0.0,0.5280416011810303,0.018004894256591797,nan,nan
0.0,3.124718864923051,0.0,0.0,-0.01687378866674205,0.0,0.0,0.5445945262908936,0.01655292510986328,nan,nan
0.0,3.124718864923051,0.0,0.0,-0.01687378866674205,0.0,0.0,0.5620541572570801,0.017459630966186523,nan,nan
0.0,3.124718864923051,0.0,0.0,-0.01687378866674205,0.0,0.0,0.5779051780700684,0.01585102081298828,nan,nan
0.0,3.124718864923051,0.0,0.0,-0.01687378866674205,0.0,0.0,0.5943889617919922,0.016483783721923828,nan,nan
0.0,3.124718864923051,0.0,0.0,-0.01687378866674205,0.0,0.0,0.6120748519897461,0.017685890197753906,nan,nan
0.0,3.124718864923051,0.0,0.0,-0.01687378866674205,0.0,0.0,0.6260795593261719,0.014004707336425781,nan,nan
0.0,3.124718864923051,0.0,0.0,-0.01687378866674205,0.0,0.0,0.6408796310424805,0.014800071716308594,nan,nan
0.0,3.124718864923051,0.0,0.0,-0.01687378866674205,0.0,0.0,0.6556053161621094,0.014725685119628906,nan,nan
