episode,ave_ep_len,ave_ep_rew,qtable_err
0,5.0,-7.428571428571429,0.0003863490625979956
200,23.64,5.495714285714286,0.15304506803484746
400,31.98,12.661428571428571,0.22975898734951417
600,39.94,18.944285714285698,0.27845809820709544
800,42.81,21.07857142857142,0.32590069070519995
1000,44.99,23.31999999999999,0.35972609283270984
1200,42.585,21.201428571428572,0.3447030499103436
1400,42.47,20.81428571428572,0.3505977836436671
1600,41.41,19.797142857142852,0.34736173543914095
1800,42.995,21.21571428571428,0.3602107190304129
2000,44.71,22.749999999999996,0.37326064755933275
2200,48.535,25.64999999999998,0.40381265317037773
2400,50.395,27.411428571428573,0.4314884741252312
2600,49.115,26.215714285714288,0.42072496859515746
2800,47.775,25.522857142857134,0.4126173007342959
3000,47.45,24.46857142857142,0.449065694898639
3200,45.58,23.207142857142852,0.4396063025560833
3400,45.635,23.564285714285717,0.4470733310017711
3600,46.95,23.98571428571427,0.46107602747966936
3800,55.07,31.128571428571387,0.48494882344615076
4000,50.07,27.582857142857133,0.4371483409232908
4200,53.95,29.86142857142857,0.47986177180093026
4400,46.58,24.34857142857142,0.42108580378677646
4600,48.12,24.95714285714286,0.4668180703655641
4800,51.02,27.584285714285702,0.483450797600798
5000,54.615,31.469999999999974,0.4348635098045335
5200,52.605,28.638571428571414,0.5295134298425825
5400,54.9,30.832857142857144,0.5606087610408939
5600,60.96,35.45714285714285,0.5876897906688523
5800,58.56,33.99999999999999,0.566095799070601
6000,48.045,25.07714285714285,0.5123718422539489
6200,50.6,27.03999999999998,0.5319829597548509
6400,58.105,33.661428571428566,0.5563382356329023
6600,59.02,34.59857142857141,0.5698319372990966
6800,54.85,30.315714285714286,0.5477932653079829
7000,54.72,29.98857142857142,0.610927831383114
7200,59.55,34.19714285714286,0.6445663484457933
7400,52.63,28.955714285714283,0.5795466768011477
7600,56.455,31.719999999999985,0.5803563749777847
7800,60.155,34.89571428571428,0.6075978286920969
8000,52.365,28.457142857142834,0.6177281713292471
8200,57.255,31.90857142857141,0.5911803940166878
8400,54.97,30.001428571428573,0.6069744792738694
8600,60.015,34.86714285714287,0.6255041489181009
8800,51.45,27.610000000000014,0.6309931263870392
9000,61.455,35.194285714285705,0.6194256420625542
9200,58.45,33.1785714285714,0.5965093003069588
9400,61.825,35.82571428571429,0.5778391375604616
9600,53.13,28.768571428571413,0.623071891048299
9800,46.565,23.541428571428565,0.546531077066148
10000,53.75,29.68571428571428,0.57456208397924
10200,57.09,32.527142857142856,0.6263621459354549
10400,54.245,30.48142857142854,0.5658350780230312
10600,53.565,29.005714285714284,0.5940237387095206
10800,62.49,36.47285714285716,0.6403344405285198
11000,50.765,27.512857142857136,0.604657417600309
11200,53.53,29.74857142857144,0.6067957381179441
11400,70.265,42.67714285714289,0.6962990936279143
11600,63.32,37.375714285714295,0.6128789221818371
11800,55.635,31.78714285714284,0.5686654581047783
12000,60.91,35.01142857142858,0.6782304844042931
12200,55.545,30.937142857142845,0.5995390009433809
12400,56.27,31.635714285714272,0.6013236054505696
12600,52.955,28.639999999999986,0.6239203088759968
12800,58.625,33.17999999999997,0.6490790102176645
13000,74.82,46.631428571428586,0.699463200888597
13200,66.345,39.372857142857136,0.6383340368636206
13400,60.145,34.52857142857144,0.6379109468487733
13600,66.795,40.95714285714284,0.686329694805319
13800,59.18,32.66999999999999,0.6664758933878903
14000,62.97,37.13,0.6417143722469951
14200,58.18,33.12142857142855,0.636716970888445
14400,69.785,42.668571428571425,0.7094170490818269
14600,55.86,31.85142857142856,0.6381229766453628
14800,54.185,30.157142857142844,0.5789565226321695
15000,59.75,34.02857142857143,0.6959752484963058
15200,66.905,40.762857142857136,0.617147544326852
15400,50.43,26.685714285714262,0.6178318302787935
15600,62.875,37.55,0.660086085180019
15800,63.515,37.905714285714296,0.6140555922235909
