theta,alpha,thetadot,alphadot,alpha_f,torque,voltage,time,dt,n_alpha,n_theta
0.0,3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan
0.0,-3.141592653589793,0.0,-418.8790204786391,0.0,0.0,0.0,0.0,0.015,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.015004158020019531,0.015004158020019531,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.029090404510498047,0.014086246490478516,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.04332923889160156,0.014238834381103516,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.05737018585205078,0.014040946960449219,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.07188034057617188,0.014510154724121094,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.09910726547241211,0.027226924896240234,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.11473321914672852,0.015625953674316406,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.1303575038909912,0.015624284744262695,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.1459822654724121,0.015624761581420898,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.16187834739685059,0.015896081924438477,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.1775062084197998,0.01562786102294922,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.1931314468383789,0.0156252384185791,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.2087562084197998,0.015624761581420898,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.224381685256958,0.015625476837158203,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.240006685256958,0.015625,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.2556319236755371,0.0156252384185791,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.2712569236755371,0.015625,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.2868814468383789,0.015624523162841797,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.3025059700012207,0.015624523162841797,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.316814661026001,0.014308691024780273,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.3315460681915283,0.014731407165527344,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.3474593162536621,0.01591324806213379,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.36308717727661133,0.01562786102294922,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.37871265411376953,0.015625476837158203,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.39438724517822266,0.015674591064453125,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.410017728805542,0.015630483627319336,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.4260835647583008,0.01606583595275879,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.4407069683074951,0.014623403549194336,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.4578406810760498,0.017133712768554688,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.4719367027282715,0.01409602165222168,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.48597240447998047,0.014035701751708984,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.5003128051757812,0.014340400695800781,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.5158734321594238,0.015560626983642578,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.5318393707275391,0.015965938568115234,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.5484459400177002,0.016606569290161133,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.5658984184265137,0.017452478408813477,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.5817129611968994,0.015814542770385742,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.5991902351379395,0.01747727394104004,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.6131937503814697,0.014003515243530273,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.6271939277648926,0.014000177383422852,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.6481664180755615,0.020972490310668945,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.6641383171081543,0.015971899032592773,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.6797690391540527,0.015630722045898438,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.6958870887756348,0.01611804962158203,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.7118363380432129,0.015949249267578125,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.7300796508789062,0.01824331283569336,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.7448365688323975,0.014756917953491211,nan,nan
