episode,ave_ep_len,ave_ep_rew,qtable_err
0,7.0,-6.9,6.209802684163793e-06
2000,20.336,3.8648499999999997,0.024670282642089005
4000,29.9365,12.268549999999992,0.03416443382229414
6000,37.0995,18.700450000000025,0.0449871440885942
8000,41.978,23.182500000000022,0.05186571404936194
10000,45.333,25.90335000000001,0.05592976816809372
12000,48.452,28.586750000000052,0.06194313539889484
14000,51.9855,31.65085000000001,0.07030144599625826
16000,57.7475,36.95450000000003,0.08331760399353826
18000,62.5975,41.254100000000086,0.09486715750179588
20000,68.398,46.566000000000024,0.10419039692882877
22000,69.7295,47.30045000000001,0.11032859103092336
24000,73.628,50.6483,0.11834790390623093
26000,78.818,54.995749999999916,0.13149315635159586
28000,87.778,63.15445000000002,0.14261507830468217
30000,89.7705,64.76845000000006,0.1492599913261592
32000,97.5265,72.0445,0.15528339342558145
34000,102.195,75.73490000000005,0.15912864840743365
36000,106.973,80.2395499999999,0.16545419887203253
38000,107.915,81.12204999999987,0.17211848505654317
40000,118.229,89.99790000000004,0.17937283599008802
42000,114.8905,87.12000000000006,0.17723409510774488
44000,117.781,89.53489999999995,0.18495707567876954
46000,130.424,101.35455000000016,0.188989762158283
48000,128.5245,99.47500000000002,0.19255172578207358
50000,135.9025,106.04825000000017,0.192472583054191
52000,146.591,115.58909999999983,0.20197696708945648
54000,149.769,118.90349999999981,0.20387995607814305
56000,151.8215,120.48949999999999,0.21183105133717908
58000,151.725,120.59574999999988,0.20699654917547222
60000,160.435,128.35174999999987,0.20999499549033554
62000,154.884,123.43129999999995,0.2176478209194862
64000,166.3345,133.44089999999989,0.22943212245066336
66000,158.248,126.72364999999984,0.21611990957227742
68000,171.0945,138.0178000000001,0.2241474230660521
70000,178.254,144.61880000000016,0.23324829440940356
72000,176.9035,143.33169999999987,0.23641450962160968
74000,173.054,140.13004999999995,0.2333811953922033
76000,197.563,162.7585500000001,0.24223428613899053
78000,192.9435,158.41264999999981,0.24174956030532455
80000,184.349,150.3374499999996,0.2356827401340324
82000,189.153,154.81539999999964,0.23895980257927965
84000,188.324,154.38254999999972,0.24001272509565155
86000,192.4115,158.07954999999967,0.23661026645337183
88000,193.8285,159.3156499999997,0.24221312405629042
90000,212.6965,176.81604999999982,0.2601597157102415
92000,202.901,168.1142999999998,0.24858688932301856
94000,208.305,172.6083499999996,0.26045389567799315
96000,210.175,174.71369999999962,0.24891237058608304
98000,212.3445,176.6106,0.25583433540066525
100000,212.3515,176.51219999999967,0.2613410295005257
