episode,ave_ep_len,ave_ep_rew,qtable_err
0,8.0,44.587541918200536,0.001510357781591556
200,18.445,142.38848303553357,0.7905364217443147
400,29.165,236.82395672643972,1.9186020127887742
600,29.67,238.33835758656977,1.7521640597326809
800,32.92,267.91831448032224,1.961380640817323
1000,32.0,258.8518826123888,2.0216649523613404
1200,36.58,297.3171176231542,2.3582309992429744
1400,36.215,293.42539455272276,2.280641168725774
1600,36.9,297.43359096137493,2.6391486845085206
1800,40.055,328.0569439501345,2.820485525095835
2000,40.52,331.8780577343521,2.865520577643161
2200,41.425,335.1466501086847,3.2238942808107662
2400,43.325,353.8070084265105,3.0651126294820887
2600,43.99,361.39028400861883,3.077949147113339
2800,41.915,339.7206498577704,3.379409726912858
3000,40.15,326.61718373754303,3.149198568576624
3200,40.385,326.0766516838913,3.7405784026394553
3400,41.81,341.56889511792406,3.45694413328535
3600,45.205,369.41475999136225,3.5885880517512776
3800,43.255,350.9293292670635,3.621812854465709
4000,43.565,356.84841355629425,3.6176176730560483
4200,46.095,376.87017923241746,4.0445235096801735
4400,43.085,352.1133604909864,3.6215407271208058
4600,47.57,389.366353977351,4.1237946860414
4800,50.025,408.8432210448893,4.524234916274932
5000,50.05,412.6833153613456,4.042447311729212
5200,49.93,409.4679999990497,4.514778143118549
5400,50.72,415.13337029610875,4.764362506267357
5600,52.115,428.6338344515406,4.732374872714799
5800,47.84,389.58828803814015,5.108737948129413
6000,52.72,433.0712448139842,4.878854131639276
6200,49.765,407.934312856014,5.019499834052819
6400,47.74,389.5949839856337,4.663350308403576
6600,48.06,390.85565196085605,5.067235142328988
6800,55.475,454.6204363611057,5.702226376762172
7000,54.56,448.06256534966275,5.751230972677174
7200,49.9,405.7747713373413,5.622020346954285
7400,52.375,429.2135883980664,4.878030533174913
7600,47.87,393.131678012425,4.722927114067503
7800,53.695,440.16167508407597,5.601916628017335
8000,53.18,433.96770361651215,5.907298559500386
8200,54.65,445.37531580221423,5.604095244176001
8400,52.78,428.8839944901123,5.911682693964604
8600,62.38,512.8961229618012,6.294574633612257
8800,50.215,409.8397174614926,5.326184671753667
9000,52.965,434.9014641506733,5.4862451395829
9200,44.815,364.44229165184623,4.950878043514884
9400,52.62,429.60337041680066,5.77994765213121
9600,53.13,433.3337705281173,5.6797094034894835
9800,58.29,477.8963171753891,5.897366304541052
10000,53.27,435.86331138025196,5.557002121887816
10200,55.565,455.26415605666523,6.076718986627053
10400,59.28,485.55666454638236,5.849065575338672
10600,56.155,461.7153732126935,5.646866746284129
10800,54.81,446.5863728069424,5.831554346931109
11000,54.81,447.79554956507263,5.89636967105749
11200,56.495,462.4069485241474,6.200604450541071
11400,53.815,440.19967914089875,5.354638045030475
11600,52.21,427.77536239673174,5.009659156916684
11800,59.685,490.23010961555644,6.049857122652037
12000,54.685,446.65865938214586,5.826756101431862
12200,52.47,425.5310719917787,5.945063055361608
12400,49.275,400.64576800459986,5.383508234624703
12600,61.705,509.36443146728857,6.225897198210426
12800,53.295,438.45267521045866,5.32542318644373
13000,55.035,449.59775747025117,6.215734078819919
13200,54.79,447.2190655511289,5.810244621144901
13400,55.035,449.76858255920814,6.189171575228334
13600,52.19,426.3412843055271,6.312329739502443
13800,55.535,454.5611315611911,6.121775876836036
14000,66.395,549.3819753940198,6.078306671917868
14200,60.245,498.4451942640475,5.631266207126145
14400,55.085,452.54426857644773,5.502064942661676
14600,57.54,468.4113267644632,6.484050730211935
14800,57.665,471.4321796367769,6.574442652109468
15000,56.61,465.05172929552805,5.911436546046907
15200,59.61,489.7001687430615,5.813347311813279
15400,57.615,474.32502524667535,5.640092541106014
15600,59.55,486.41447530651175,6.638597757058404
15800,55.005,444.7027845784388,6.561234851989786
16000,53.29,435.7780281500046,6.081896250878348
16200,48.27,392.51011699900334,5.7541336232292934
16400,56.06,459.4249777891736,5.490673724349964
16600,64.85,534.1311036622635,5.867894912894483
16800,65.555,537.0223839515951,6.53120236292901
17000,70.365,578.9394807985811,7.096495362632467
17200,58.585,480.8520290164542,6.358456286154229
17400,61.715,507.63176760262945,6.467460337203839
17600,54.495,441.984299461861,6.32155742492173
17800,58.735,477.943401259213,6.555970936602198
18000,53.08,430.95376018997894,6.034905843497995
18200,60.21,496.66516182976966,5.911844047024498
18400,56.895,461.9722500798161,5.984615351232631
18600,48.89,397.0836217766437,5.2917508365384585
18800,48.95,398.265907452681,5.370237157613131
19000,68.765,568.7766005119051,6.14385404052755
19200,58.73,479.92123402508236,6.423392904140352
19400,53.8,441.44758372168775,5.927856103403301
19600,57.345,467.8369985917265,6.421419396062216
19800,61.905,506.2957509844083,6.620300919908106
20000,58.36,477.86928162420014,5.905389231973137
20200,62.98,519.1659479713303,6.400350131936161
20400,63.205,518.7056631393535,6.421731938532527
20600,62.56,516.1396969771366,6.2008874702336065
20800,61.855,508.3545455101514,6.815622042883112
21000,53.385,432.8399847328222,6.275481933232463
21200,60.795,494.8541163612401,6.055299600282989
21400,51.14,416.03067942195236,5.905376385893073
21600,58.925,482.6786609735186,5.825222198826886
21800,52.44,428.92752876167174,5.692740464650665
22000,52.945,432.5176956119964,5.823302822703359
22200,60.815,499.8671868858968,6.227372870347565
22400,58.88,484.65277796405275,5.927140642890203
22600,60.03,495.10509670388967,5.824275939818554
22800,66.495,552.1741104968855,6.603605370214757
23000,61.215,503.73413995001806,6.067668072392028
23200,53.945,437.25206494112666,6.020395633934727
23400,62.0,510.6923441936937,5.79432226555051
23600,60.09,492.97887997154635,6.122900830167765
23800,59.78,493.5153238475293,6.102000018756488
24000,52.735,429.9612854404389,6.343409773356498
24200,60.48,494.50562735852907,6.030133092353499
24400,51.12,417.8779575834775,5.851544620279132
24600,56.475,463.28836245348197,6.202369428203127
24800,57.11,467.00372781866986,6.07993691150895
25000,53.69,437.53465066256825,5.575938243225899
25200,54.195,441.4416563155608,6.0725588047700185
25400,51.965,423.1466683630398,5.559624560757057
25600,54.73,447.6851444117438,5.844944967072376
25800,68.45,566.7234133597859,6.518881860479045
26000,57.46,471.90244008324873,5.827378949496897
26200,60.68,498.50185387515774,6.178368321467374
26400,54.95,452.02867926870704,5.3773309723917055
26600,53.58,440.8065134622895,5.134250721417978
26800,64.925,533.8186630955186,6.260153916887825
27000,62.705,520.0506214545718,6.051150467234008
27200,59.14,483.5441446376257,6.166683838946655
27400,60.3,494.308049716294,6.593175161017754
27600,62.115,509.898829738518,6.2693832621017185
27800,70.66,586.5328233308079,6.657348247138714
28000,65.11,536.1174279323501,7.0382852417036315
28200,71.27,589.3558715620246,6.7787134033130485
28400,59.815,492.4022573662665,6.26615466622457
