episode,ave_ep_len,ave_ep_rew,qtable_err
0,11.0,55.83519873876422,2.944878258431962e-05
2000,18.715,122.37785023583106,0.11974332858838249
4000,25.0565,173.65033219695644,0.17286259639068138
6000,30.0555,213.88916437493617,0.2221828764400347
8000,34.8115,254.90511366348778,0.2942409706869492
10000,39.636,295.1378686032291,0.3665956095909347
12000,42.707,321.3565503784464,0.42936464092261967
14000,48.4955,371.2182845234393,0.5472310612633994
16000,51.08,391.46891931367685,0.6031857148901799
18000,55.5755,429.45556025699585,0.6788433238710582
20000,58.978,456.98680098489973,0.7619927508986281
22000,62.5655,487.5327638818295,0.8482396726082674
24000,71.981,568.3167118004977,1.0155341994495946
26000,72.732,571.0745975322313,1.1179856474041987
28000,72.48,568.4369098459642,1.0708260361442123
30000,86.195,685.6119236284962,1.2440345568110793
32000,93.4595,749.0412398823917,1.321682097691575
34000,96.99,777.0031191323278,1.4687408397641177
36000,102.538,824.8403524130903,1.439878669224735
38000,106.7665,857.5730921425327,1.5184290659161976
40000,113.899,919.8803983269567,1.5858436684317954
42000,119.7095,969.2353684761001,1.5944758195739994
44000,119.4935,965.1846716924312,1.645918938912959
46000,119.495,964.9059721519264,1.646249542303978
48000,122.4535,988.61467082989,1.6471931726645048
50000,133.0405,1082.5156554843647,1.6642873978244612
52000,142.1045,1156.751683795791,1.8065777363254492
54000,140.2365,1138.6653921875225,1.813368917481598
56000,147.455,1200.2805272269657,1.845924115341259
58000,155.848,1275.2890960434547,1.8747162296198412
60000,155.9315,1275.581640568196,1.8620105275537713
62000,158.2125,1294.8427790023352,1.8565041244080975
64000,171.932,1415.369899969751,1.84783495926873
66000,183.5295,1514.2587194380476,1.9828051569088698
68000,171.453,1406.2648258615802,1.94953639777352
70000,174.567,1434.3991967204267,1.9549989815833162
72000,173.9245,1428.5919040979063,1.9219772513858964
74000,173.2685,1420.1158625120404,1.97270495989314
76000,175.6875,1440.2736414740725,2.0224155233566234
78000,179.877,1473.3740890791637,2.09775377681352
80000,177.816,1451.691299224098,2.1322856842193025
82000,187.2025,1535.5928003410017,2.1162162991455427
84000,188.8005,1545.7091846954982,2.211515322700885
86000,206.169,1695.6550748492912,2.222481939045382
88000,195.628,1605.1698821611153,2.138258619554636
90000,199.809,1642.4217936220746,2.140609357298248
92000,214.254,1763.111353765873,2.2538259081903664
94000,216.2245,1778.2895496877195,2.3667159283621255
96000,214.6855,1766.3094528639576,2.34422561935271
98000,225.9675,1860.9371244320566,2.315711115799018
100000,218.905,1799.9836768817613,2.256002305461776
