episode,ave_ep_len,ave_ep_rew,qtable_err
0,6.0,-8.0,3.1519850035731186e-06
2000,15.2295,-0.7624500000000001,0.00946850671085805
4000,22.1195,4.4661,0.01174722608177867
6000,26.547,8.33125,0.013244000162722494
8000,30.499,12.164249999999983,0.016310055764690922
10000,34.1245,15.56620000000002,0.017299510190255316
12000,36.6435,17.666600000000003,0.018477087745238204
14000,38.944,19.791799999999974,0.019507479650414918
16000,41.68,22.28625000000003,0.02112049257097999
18000,45.055,25.48329999999998,0.022698637156101018
20000,47.591,27.723549999999992,0.02455085063466826
22000,48.936,28.869199999999967,0.026422623172570388
24000,49.207,28.92995,0.02558460441973262
26000,51.3505,30.768200000000025,0.027492447570682775
28000,52.047,31.474249999999973,0.02855834589703094
30000,55.2965,34.57994999999998,0.030483188157720175
32000,57.3295,36.06210000000009,0.03367230063514075
34000,61.516,39.88645,0.035919612810023274
36000,59.9955,38.52924999999996,0.03513054120583765
38000,65.223,43.3491,0.03963399366179059
40000,72.0145,49.69444999999999,0.04647565462468311
42000,75.0845,52.587749999999986,0.04676449325360009
44000,79.4385,56.53235000000013,0.05176576145850486
46000,80.607,57.57039999999998,0.05188141216727531
48000,85.803,62.390950000000075,0.05579431488487431
50000,88.3205,64.46860000000008,0.05757385080126052
52000,87.569,63.44604999999999,0.05894872297249194
54000,96.047,71.06565000000008,0.06370427587246388
56000,97.6465,72.41639999999992,0.06638406289839771
58000,100.7595,75.06940000000012,0.06758075234590014
60000,105.0435,79.08315000000003,0.07010995272548665
62000,110.843,84.17055000000013,0.07396812440183216
64000,122.4515,94.95364999999988,0.08000570239366091
66000,115.0015,88.19985000000005,0.07530432963645325
68000,116.7355,89.67804999999997,0.0782155906048451
70000,134.338,105.14280000000002,0.0855333964954432
72000,132.6045,103.91164999999978,0.085129640802822
74000,135.3115,106.22130000000011,0.0890827024367322
76000,137.928,108.5320999999999,0.08844035872440131
78000,136.6865,107.40314999999993,0.08670337543317397
80000,161.162,129.47149999999976,0.09895885013503043
82000,160.465,129.08984999999993,0.09837067563334125
84000,164.371,133.00899999999982,0.0969933678570112
86000,159.628,128.19124999999988,0.09303882549438154
88000,166.604,134.45770000000002,0.09934527162706792
90000,183.4275,149.92844999999983,0.10114882957232751
92000,180.293,146.75239999999988,0.10401086675023648
94000,182.128,148.8027,0.10366296569233106
96000,186.0715,152.36349999999968,0.10553523306331715
98000,188.6465,155.42554999999973,0.10249455165453604
100000,193.2855,158.94224999999997,0.10979047324217292
