episode,ave_ep_len,ave_ep_rew,qtable_err
0,9.0,-1.720690301017198,0.0005694292622708613
2000,37.28,25.00088873476026,2.0338920044426776
4000,46.8045,34.3629492896522,1.8688318904798094
6000,49.111,36.470125885291445,1.8561508739736732
8000,52.6875,39.954605930585366,1.6964031441318546
10000,54.8945,42.18537769356628,1.8667033480906265
12000,55.5085,42.71927299347708,1.951534837875058
14000,57.0975,44.31694299443405,1.8241236204593472
16000,57.739,44.909427326085364,1.8183529233682911
18000,54.485,41.55350159219087,1.8509987443552345
20000,59.37,46.42105965673212,1.9542964565458267
22000,58.2415,45.24018274824461,1.993108998594805
24000,59.9145,46.906780396824885,1.9312598925011581
26000,61.1335,48.066402825011295,1.901125086975048
28000,60.28,47.33382552553302,1.8707353024812294
30000,61.3045,48.255404210337616,1.950483224476303
32000,58.5565,45.70618863740434,1.832278444141831
34000,60.492,47.475756771159645,1.8846305899045976
36000,63.9325,50.703798284193816,1.9176562135082458
38000,63.078,49.952800003236526,1.89879238939252
40000,61.687,48.715705283555785,1.834195321126587
42000,61.2615,48.22245850330936,1.8980353268368075
44000,61.0,48.076906938801656,1.8218010690513347
46000,64.5625,51.37377983983195,1.9076055626533948
48000,61.5585,48.48196767075054,1.9074623200005392
50000,63.3935,50.292931701738134,1.9047626365817159
52000,63.6975,50.552596819222906,1.7713220792822724
54000,60.6485,47.7590672637365,1.8993252891528087
56000,62.854,49.84222131237666,1.8720104275863485
58000,62.5685,49.648977164547304,1.7167648082357396
60000,63.1585,50.009737987986725,1.7762323762418175
62000,63.4735,50.338252169593396,1.8424106580053157
64000,63.8605,50.75694329178247,1.809798607461189
66000,60.8685,47.89236753698461,1.8968975261811356
68000,61.9115,48.84673474583141,1.8858201725313566
70000,58.6635,45.61247053802312,1.8261433215674998
72000,64.078,51.036037423035445,1.9037582720943944
74000,62.6155,49.62612838948866,1.9514627144615702
76000,61.217,48.181762918280704,1.9202660789629078
78000,63.959,50.85681602672405,1.8729446842221638
80000,57.515,44.60882374986967,1.8182960048511
82000,59.737,46.77944418402912,1.8450796310642592
84000,59.619,46.60626745198248,1.8570817498602792
86000,67.182,53.997371607151834,1.923791283915587
88000,59.866,46.89405967965818,1.825006709154878
90000,63.707,50.553718830794075,1.8121716536423378
92000,62.5185,49.46879351071254,1.8250345679882742
94000,61.6015,48.48928124806579,1.8437635692895245
96000,60.8465,47.75518360014068,1.8100182651574874
98000,60.3685,47.453126112503156,1.8201422629992954
100000,63.4295,50.37152955930284,1.7678197210320006
