episode,ave_ep_len,ave_ep_rew,qtable_err
0,13.0,-8.7,0.0003689847370893757
200,29.23,-7.0769999999999955,0.08017026307063171
400,34.26,-6.574000000000001,0.0814865158625076
600,38.13,-6.187000000000003,0.08861203185754041
800,39.695,-6.030500000000002,0.09051454968016077
1000,36.425,-6.3574999999999955,0.08319249163772478
1200,42.42,-5.758000000000002,0.09325320770686812
1400,38.11,-6.1890000000000045,0.09467539225955758
1600,39.045,-6.095500000000002,0.09633969803422379
1800,40.32,-5.968,0.09747446263366663
2000,47.32,-5.268000000000002,0.10227680756932145
2200,49.525,-5.047500000000003,0.10345586938200754
2400,48.13,-5.187000000000005,0.10248888780617961
2600,47.365,-5.263500000000001,0.10483047941316341
2800,52.03,-4.797000000000003,0.10537873033259038
3000,52.89,-4.711000000000001,0.11293201630840144
3200,51.0,-4.900000000000004,0.11143222022460966
3400,48.665,-5.1335000000000015,0.11408540938615905
3600,53.355,-4.664500000000003,0.10937174975072762
3800,56.495,-4.350500000000006,0.12176304925932413
4000,48.485,-5.151499999999999,0.11274280160919267
4200,56.955,-4.3045000000000035,0.11961434058565923
4400,55.265,-4.473500000000004,0.12594268576773004
4600,52.36,-4.764000000000005,0.10961467009328525
4800,48.315,-5.168500000000003,0.11344572127399462
5000,49.23,-5.077000000000002,0.10436895239987717
5200,52.03,-4.797000000000006,0.11399389970177806
5400,53.57,-4.643000000000001,0.12041332151115429
5600,52.585,-4.741500000000005,0.11332225616247744
5800,54.79,-4.521000000000006,0.12041435301977686
6000,54.71,-4.529000000000005,0.117318180266631
6200,57.77,-4.223000000000006,0.12061524985112337
6400,60.84,-3.9160000000000057,0.12908120810361712
6600,53.995,-4.600500000000006,0.12936899454102407
6800,53.89,-4.611000000000005,0.12275614628378706
7000,54.325,-4.567500000000004,0.12444670939550129
7200,52.545,-4.745500000000004,0.12099716978630472
7400,58.65,-4.135000000000002,0.1305838304046373
7600,59.805,-4.0195000000000025,0.12818340110011167
7800,53.56,-4.644000000000005,0.13312183767283572
8000,54.83,-4.517000000000006,0.13190852803236588
8200,54.21,-4.579000000000005,0.11234835303069265
8400,67.96,-3.204000000000006,0.1266118586144797
8600,57.23,-4.277000000000005,0.126795906141853
8800,58.075,-4.192500000000006,0.1376163087482885
9000,57.79,-4.2210000000000045,0.13227224931805767
9200,64.185,-3.5815000000000055,0.1381462427672071
9400,54.835,-4.516500000000005,0.1268126762737818
9600,52.02,-4.798000000000004,0.1317304824037422
9800,54.55,-4.5450000000000035,0.12958877828049262
10000,60.14,-3.986000000000003,0.1399710055503436
10200,61.215,-3.8785000000000065,0.13476163888612847
10400,63.08,-3.692000000000007,0.14643089957699212
10600,56.5,-4.350000000000008,0.13584347424815618
10800,61.21,-3.879000000000005,0.13583254849941995
11000,65.05,-3.495000000000004,0.149032680601403
11200,60.035,-3.9965000000000055,0.1324229480257004
11400,58.27,-4.173000000000005,0.13176301959416598
11600,58.965,-4.103500000000004,0.1334953831634179
11800,60.0,-4.0000000000000036,0.13176153324855955
12000,61.845,-3.815500000000003,0.1285177901342757
12200,56.96,-4.304000000000003,0.13848467922470636
12400,61.705,-3.8295000000000057,0.13507322962353435
12600,62.805,-3.719500000000005,0.12716348909206476
12800,59.455,-4.0545000000000035,0.12778323649561305
13000,55.635,-4.436500000000009,0.11854675287365563
13200,53.045,-4.695500000000003,0.12357426459472448
13400,60.74,-3.9260000000000086,0.1373959065671787
13600,58.735,-4.126500000000002,0.12503803660282253
13800,52.715,-4.728500000000006,0.12926082309453002
14000,59.265,-4.0735000000000054,0.1297918605018331
14200,59.625,-4.037500000000008,0.13196535040470078
14400,56.2,-4.380000000000006,0.12823378808690053
14600,65.025,-3.497500000000006,0.13514399468430358
14800,65.115,-3.4885000000000117,0.1339329992470487
15000,59.275,-4.072500000000005,0.1322003217196206
15200,54.015,-4.598500000000004,0.129207724515325
15400,55.72,-4.428000000000006,0.13320781106159552
15600,67.97,-3.2030000000000034,0.13715852449085825
15800,61.965,-3.8035000000000054,0.1391460570268357
16000,58.72,-4.128000000000005,0.13465004061641878
16200,59.71,-4.0290000000000035,0.13143599309222154
16400,61.255,-3.8745000000000083,0.1448559923733116
