theta,alpha,thetadot,alphadot,alpha_f,torque,voltage,time,dt,n_alpha,n_theta
0.0,3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan
0.0,-3.141592653589793,0.0,-418.8790204786391,0.0,0.0,0.0,0.0,0.015,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.01437997817993164,0.01437997817993164,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.028992652893066406,0.014612674713134766,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.04569506645202637,0.01670241355895996,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.061379194259643555,0.015684127807617188,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.0763387680053711,0.014959573745727539,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.09107661247253418,0.014737844467163086,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.1117091178894043,0.020632505416870117,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.127333402633667,0.015624284744262695,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.1429603099822998,0.015626907348632812,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.1585836410522461,0.015623331069946289,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.1742088794708252,0.0156252384185791,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.189833402633667,0.015624523162841797,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.2054591178894043,0.015625715255737305,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.2210838794708252,0.015624761581420898,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.236708402633667,0.015624523162841797,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.25245189666748047,0.015743494033813477,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.2680797576904297,0.01562786102294922,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.2837047576904297,0.015625,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.29775309562683105,0.014048337936401367,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.3117532730102539,0.014000177383422852,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.3274104595184326,0.01565718650817871,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.34303903579711914,0.015628576278686523,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.35866403579711914,0.015625,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.37428927421569824,0.0156252384185791,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.38991427421569824,0.015625,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.4049088954925537,0.014994621276855469,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.42905449867248535,0.02414560317993164,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.4439995288848877,0.014945030212402344,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.46155309677124023,0.01755356788635254,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.4782845973968506,0.01673150062561035,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.4948704242706299,0.016585826873779297,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.5117154121398926,0.016844987869262695,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.528437614440918,0.01672220230102539,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.5457262992858887,0.017288684844970703,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.559736967086792,0.01401066780090332,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.579075813293457,0.01933884620666504,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.5930867195129395,0.014010906219482422,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.6071419715881348,0.014055252075195312,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.6288001537322998,0.02165818214416504,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.6444168090820312,0.015616655349731445,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.6600453853607178,0.015628576278686523,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.6756711006164551,0.015625715255737305,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.6913065910339355,0.01563549041748047,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.7070679664611816,0.015761375427246094,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.7220380306243896,0.014970064163208008,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.7364132404327393,0.01437520980834961,nan,nan
0.0,-3.141592653589793,0.0,0.0,0.0,0.0,0.0,0.7613227367401123,0.024909496307373047,nan,nan
